Episode,Timestep,State,Action,Human_Reward,Environment_Reward,Learning_Mode,Update_Type,TD_Target,Model_Error
1,325,[-0.49444908 -0.0133405 ],0,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.817992738168533,0.36050462888716117
1,326,[-0.50900793 -0.01455884],1,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.847643724830709,0.39519344916811816
1,327,[-0.52367616 -0.01466824],0,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.776734032189512,0.3632913714470143
1,328,[-0.53934383 -0.01566766],2,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.8585566339226816,0.4306496570366498
1,329,[-0.55389345 -0.01454962],1,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.8682584263562205,0.3882699583143956
1,330,[-0.56821615 -0.01432272],0,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.800848156304914,0.36449859059655143
1,331,[-0.5832052  -0.01498909],2,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.894746542779879,0.4273949083409687
1,332,[-0.59674966 -0.01354442],0,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.830656356309079,0.3654615766914455
1,333,[-0.61074984 -0.01400018],1,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.854270643854105,0.39719589286278145
1,334,[-0.6241038  -0.01335397],0,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.802249960714598,0.36777455833357653
1,335,[-0.63771534 -0.01361155],2,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.868205038914648,0.4254985392276889
1,336,[-0.6494877 -0.0117723],1,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.887309544560168,0.39760827665306486
1,337,[-0.66033804 -0.01085041],0,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.839582770600235,0.37320106540144016
1,338,[-0.67119145 -0.01085339],2,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.906171787642597,0.4204958556166445
1,339,[-0.6799737  -0.00878226],0,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.883037094689586,0.37755570190919574
1,340,[-0.6886257 -0.008652 ],1,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.889608600178097,0.3991331380130725
1,341,[-0.69609    -0.00746424],2,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.94294537047933,0.41270107955246127
1,342,[-0.7013175  -0.00522753],0,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.936306767004332,0.3852588183952692
1,343,[-0.7062744  -0.00495689],1,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.945264719313043,0.39828594992119504
1,344,[-0.70992875 -0.00365438],2,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.980819615586206,0.4034791133825819
1,345,[-0.71125734 -0.00132856],0,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.998250590105502,0.3930974204785129
1,346,[-0.7122516  -0.00099429],1,0,-1.0,hybrid,Hybrid_TD_Supervised,-5.003588337071121,0.39712500925315153
1,347,[-7.1190536e-01  3.4626888e-04],1,0,-1.0,hybrid,Hybrid_TD_Supervised,-5.022662236256885,0.3835951316838506
1,348,[-0.7102207   0.00168464],2,0,-1.0,hybrid,Hybrid_TD_Supervised,-5.016061044861707,0.3908398717693351
1,349,[-0.70620835  0.00401232],2,0,-1.0,hybrid,Hybrid_TD_Supervised,-5.035544082020184,0.3840337007110417
1,350,[-0.69989395  0.00631441],0,0,-1.0,hybrid,Hybrid_TD_Supervised,-5.075448954477835,0.4075782227156899
1,351,[-0.6933181   0.00657584],1,0,-1.0,hybrid,Hybrid_TD_Supervised,-5.088262745476796,0.39197914139876167
1,352,[-0.6855237   0.00779444],2,0,-1.0,hybrid,Hybrid_TD_Supervised,-5.051322580449343,0.3701785015432444
1,353,[-0.675562    0.00996168],1,0,-1.0,hybrid,Hybrid_TD_Supervised,-5.075437182402031,0.38837972356088146
1,354,[-0.6644997   0.01106233],0,0,-1.0,hybrid,Hybrid_TD_Supervised,-5.117327878162101,0.4091485639080239
1,355,[-0.6534118  0.0110879],2,0,-1.0,hybrid,Hybrid_TD_Supervised,-5.0463279305730655,0.3561492925696377
1,356,[-0.6403747   0.01303707],2,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.9955798456558185,0.3502255067599451
1,357,[-0.62547964  0.01489508],1,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.981074113778515,0.3849953585259538
1,358,[-0.6098323   0.01564735],2,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.9083276944283325,0.34461229723993503
